prolificId,order,text,wordCount,createdAt
p1,1,The future right in your pocket.,6,15:53.4
p1,2,A phone for a new age.,6,15:53.4
p1,3,Slim. Sleek. Smartphone.,3,15:53.4
p1,4,Be smart. Get this phone.,5,15:53.4
p1,5,Smartphones just got a genius upgrade.,6,15:53.4
p1,6,The cutting edge of what's possible.,6,15:53.4
p1,7,A phone that's complex as you,6,15:53.4
p1,8,One phone to rule them all.,6,15:53.4
p2,1,Life in your hands,4,16:24.9
p2,2,The future and universe,4,16:24.9
p2,3,Mini companion,2,16:24.9
p2,4,Capture brilliance,2,16:24.9
p2,5,Beauty you can hold,4,16:24.9
p2,6,"Crafted for clarity, built for life",6,16:24.9
p2,7,Redefine possible,2,16:24.9
p2,8,Power you can feel,4,16:24.9
p2,9,Live elegantly,2,16:24.9
p2,10,Your world,2,16:24.9
p2,11,Fast. Smooth. Limitless,3,16:24.9
p3,1,Power that keeps up,4,24:22.7
p3,2,Built for real life,4,24:22.7
p3,3,Fast when it matters,4,24:22.7
p3,4,Smart in every way,4,24:22.7
p3,5,Everything you need in hand,5,24:22.7
p3,6,So smart it needs own phone,6,24:22.7
p3,7,Made to get things done,5,24:22.7
p4,1,A smartphone that feels like home.,6,19:01.4
p4,2,Beautiful phones for beautiful minds.,5,19:01.4
p4,3,Our phones put your privacy first.,6,19:01.4
p5,1,Talk your head off,4,06:21.8
p5,2,Talk your life away,4,06:21.8
p5,3,Mr. or Ms. Chatterbox,4,06:21.8
p5,4,Lets GO!! Mr. Messenger,4,06:21.8
p5,5,"our phone, your life",4,06:21.8
p6,1,your new go-to device,4,10:25.6
p6,2,get some!,2,10:25.6
p6,3,a new way to phone,5,10:25.6
p6,4,phonebelieveable!,1,10:25.6
p7,1,The cutting edge in your pocket.,6,05:30.2
p7,2,A world of knowledge at hand.,6,05:30.2
p7,3,Perfect selfies everytime.,3,05:30.2
p7,4,"Slim, sleek and yours.",4,05:30.2
p7,5,Make your friends jealous.,4,05:30.2
p7,6,Cutting edge tech made easy.,5,05:30.2
p8,1,the newest technology,3,07:50.5
p8,2,"fast, featured, great battery life",5,07:50.5
p8,3,only the best,3,07:50.5
p8,4,beautiful sleek and functional,4,07:50.5
p8,5,let your imagination run wild,5,07:50.5
p8,6,built for life,3,07:50.5
p8,7,impress yourself,2,07:50.5
p8,8,go with the best,4,07:50.5
p8,9,be your best,3,07:50.5
p9,1,"Bold design, bolder performance",4,08:42.7
p9,2,Power that never sleeps,4,08:42.7
p9,3,AI and Innovation in your palms,6,08:42.7
p9,4,"Built for class, built to last",6,08:42.7
p9,5,"One Device, Seamless Life",4,08:42.7
p9,6,Experience Luxury,2,08:42.7
p9,7,Last Phone You'll Ever Buy,5,08:42.7
p9,8,Be Truly Smart,3,08:42.7
p9,9,"Connecting People, Connecting Worlds",4,08:42.7
p10,1,Easy as PIE,3,31:12.8
p10,2,Never worry again about space,5,31:12.8
p10,3,Very SMART ...ALL SO TRUE,5,31:12.8
p10,4,Can't Talk...Number your ways,4,31:12.8
p10,5,My Phone... My Everything!!,4,31:12.8
p11,1,Your handheld best friend.,4,06:13.3
p11,2,Connection. Power. Status.,3,06:13.3
p11,3,Your door to greater things.,5,06:13.3
p11,4,Connect with the world.,4,06:13.3
p11,5,"All in one, all the time.",6,06:13.3
p11,6,"Innovation, in your hand.",4,06:13.3
p11,7,The gateway to greater things.,5,06:13.3
p11,8,"All new, all powerful.",4,06:13.3
p12,1,Next level every tap,4,09:17.5
p12,2,Designed for life,3,09:17.5
p12,3,Stay ahead with friends,4,09:17.5
p12,4,Power in your hand,4,09:17.5
p12,5,Think fast and do more,5,09:17.5
p12,6,Smart machine made for you,5,09:17.5
p13,1,Let's keep talkin',3,14:25.9
p13,2,Let's keep connectin',3,14:25.9
p13,3,A new way to connect,5,14:25.9
p13,4,A better way to connect,5,14:25.9
p13,5,We put the connect in connection,6,14:25.9
p13,6,Connecting one phone at a time,6,14:25.9
p13,7,Let's stay social,3,14:25.9
p13,8,We put the smart in smartphone,6,14:25.9
p13,9,Unity in human connection,4,14:25.9
p13,10,A smart way to human connection,6,14:25.9
p13,11,A smart way to connect,5,14:25.9
p14,1,You can call me anytime!,5,04:40.5
p14,2,the whole world in your pocket,6,04:40.5
p14,3,innovation in every phone call,5,04:40.5
p15,1,Power in your palm,4,06:48.0
p15,2,Capture life. Instantly,3,06:48.0
p15,3,The future fits your hand,5,06:48.0
p15,4,Elevate your everyday moment.,4,06:48.0
p15,5,See more.  Do more,4,06:48.0
p15,6,Power the keeps on going,5,06:48.0
p15,7,Next-level in every tap,4,06:48.0
p15,8,Think fast.  Live faster,4,06:48.0
p15,9,Made to move with you,5,06:48.0
